店舗名,電話番号,メールアドレス,都道府県,市町村区,番地,建物名,HPのURL,SSL証明書
貴闘炎 八丁堀店,050-5596-6063, ,東京都,中央区八丁堀3-9-5,3ー9ー5,,https://takatoen-hatchobori.com/,True
味ちゃん 3 号店,050-5456-1509, ,東京都,新宿区百人町1-15-19,1ー15ー19,マルスビルＢ１ ,http://www.macchan.jp/index.html,False
炭火焼肉ホルモン 裏ネバーランド,050-5595-9366, ,東京都,品川区戸越2-7-6,2ー7ー6,, , 
焼肉トラジ 青山店,050-5457-6988, ,東京都,港区北青山3-5-17,3ー5ー17,ストラーダビル　Ｂ１Ｆ,https://www.ebisu-toraji.com/shop_area/aoyama/,True
イーツーファン,050-5456-5072, ,東京都,渋谷区道玄坂1-7-8,1ー7ー8,新井ビル 3F, , 
炭火焼肉寿恵比呂 錦糸町北口店,050-5595-6897, ,東京都,墨田区錦糸3-3-10,3ー3ー10,, , 
清香園 渋谷店,050-5570-4164, ,東京都,渋谷区宇田川町37-14,37ー14,篠原ビル　１Ｆ, , 
百済,050-5868-4499, ,東京都,新宿区歌舞伎町1-1-3,1ー1ー3,,http://www.kudara.jp/,False
炭火焼肉・韓国料理 KollaBo 池袋西口店,050-5457-3807, ,東京都,豊島区西池袋1-24-7,1ー24ー7,,https://shop.kollabo.co.jp/ikebukuro-nishiguchi/,True
東京亭,050-5869-8617, ,東京都,台東区西浅草1-8-13,1ー8ー13,2F, , 
牛タンいろ葉 歌舞伎町レッドのれん街店,050-5596-0458, ,東京都,新宿区歌舞伎町1-3-7,1ー3ー7,第1金嶋ビル1Fろ区画, , 
シュラスコ&ビアレストラン ALEGRIA tachikawa,050-5868-0209, ,東京都,立川市柴崎町3-1-7,3ー1ー7,南口第2ビル 3F, , 
コルザ,050-5593-9510, ,東京都,中央区銀座6-5-15,6ー5ー15,銀座能楽堂ビル 　Ｂ１Ｆ,http://www.colza.co.jp/,False
ホルモン焼肉 うまうま,050-5597-8571, ,東京都,千代田区神田須田町2-12,2ー12,,"https://www.google.co.jp/search?q=%E3%83%9B%E3%83%AB%E3%83%A2%E3%83%B3+%E3%81%86%E3%81%BE%E3%81%86%E3%81%BE&ie=UTF-8&oe=UTF-8&hl=ja-jp&client=safari#trex=m_t:lcl_akp,rc_f:nav,rc_ludocids:1992166638211",True
銀座羊屋 はなれ,03-3561-7887, ,東京都,中央区銀座3-8-8,3ー8ー8,太郎坊ビル　１Ｆ,http://dios-tokyo.com/gaiyou.html,False
東京馬焼肉　三馬力,050-5869-9194, ,東京都,豊島区池袋2-35-2,2ー35ー2,第三工藤ビル 1F,http://www.sambariki.com,False
黒毛和牛焼肉 新宿肉善,050-5305-3760, ,東京都,新宿区歌舞伎町1-22-6,1ー22ー6,富士ビル 1Ｆ, , 
雪月花,050-5595-1153, ,東京都,葛飾区新小岩1-29-7,1ー29ー7,米久ビル 2F, , 
韓国式居酒屋 トンマッコル 上野店,050-5589-6510, ,東京都,台東区上野6-16-7,6ー16ー7,D-Ｂ　2F, , 
東京焼肉 平城苑 錦糸町駅前プラザビル店,050-5456-8750, ,東京都,墨田区江東橋3-8-7,3ー8ー7,錦糸町駅前プラザビル 7F,https://heijoen.co.jp/,True
神楽坂焼肉 Lasso,050-5570-4920, ,東京都,新宿区神楽坂2-20,2ー20,, , 
うしごろ 貫 恵比寿本店,050-5872-3765, ,東京都,渋谷区恵比寿南1-8-1,1ー8ー1,STM恵比寿ビル 1F,http://ushigoro-kan.com/,False
